region,year,total_cases,case_change_vs_prev_year,pct_change_vs_prev_year,region_case_rank_in_year,high_crime_region
Rwizi,2024,17529,424.0,2.4788073662671732,1.0,1
Rwizi,2024,16986,-119.0,-0.695703010815551,1.0,1
Rwizi,2024,16904,-201.0,-1.1750950014615609,1.0,0
Rwizi,2024,16904,-201.0,-1.1750950014615609,1.0,1
Rwizi,2024,18455,1350.0,7.892429114294067,1.0,0
Rwizi,2024,17761,656.0,3.8351359251680797,1.0,1
Rwizi,2024,16703,-402.0,-2.3501900029231217,1.0,1
Rwizi,2024,17569,464.0,2.7126571178018124,1.0,1
Rwizi,2024,17311,206.0,1.2043262204033909,1.0,1
Rwizi,2024,15468,-1637.0,-9.570301081555101,1.0,1
Rwizi,2024,16238,-867.0,-5.0686933645133,1.0,1
Rwizi,2024,17373,268.0,1.5667933352820813,1.0,1
Rwizi,2024,18358,1253.0,7.3253434668225665,1.0,1
Rwizi,2024,16911,-194.0,-1.1341712949429992,1.0,1
Rwizi,2024,16639,-466.0,-2.7243496053785443,1.0,1
Rwizi,2024,17199,94.0,0.5495469161064016,1.0,1
Rwizi,2024,16591,-514.0,-3.004969307220111,1.0,1
Rwizi,2024,16855,-250.0,-1.4615609470914936,1.0,1
Rwizi,2024,17093,-12.0,-0.07015492546039169,1.0,0
Rwizi,2024,16200,-905.0,-5.290850628471207,1.0,1
Rwizi,2023,17685,698.0,4.109024548183905,2.0,1
Rwizi,2023,15950,-1037.0,-6.104668275740273,2.0,1
Rwizi,2023,15858,-1129.0,-6.646258903867663,2.0,1
Rwizi,2023,17154,167.0,0.9831047271442869,2.0,1
Rwizi,2023,17614,627.0,3.6910578677812445,2.0,0
Rwizi,2023,17132,145.0,0.8535939247659975,2.0,1
Rwizi,2023,16888,-99.0,-0.5827986107023018,2.0,1
Rwizi,2023,16731,-256.0,-1.5070347913110025,2.0,1
Rwizi,2023,16595,-392.0,-2.3076470241949725,2.0,1
Rwizi,2023,17884,897.0,5.280508624242067,2.0,1
Rwizi,2023,17262,275.0,1.618885029728616,2.0,0
Rwizi,2023,16659,-328.0,-1.9308883263672219,2.0,1
Rwizi,2023,16412,-575.0,-3.3849414257961974,2.0,0
Rwizi,2023,17506,519.0,3.0552775651969153,2.0,1
Rwizi,2023,17862,875.0,5.150997821863778,2.0,1
Rwizi,2023,17777,790.0,4.650615176311297,2.0,0
Rwizi,2023,16274,-713.0,-4.197327367987285,2.0,1
Rwizi,2023,16724,-263.0,-1.5482427738859128,2.0,1
Rwizi,2023,16580,-407.0,-2.395949843998352,2.0,1
Rwizi,2023,16829,-158.0,-0.9301230352622594,2.0,1
Rwizi,2022,14781,577.0,4.06223598986201,4.0,1
Rwizi,2022,15167,963.0,6.779780343565194,4.0,1
Rwizi,2022,14460,256.0,1.802309208673613,4.0,1
Rwizi,2022,13745,-459.0,-3.231484088989017,4.0,1
Rwizi,2022,14178,-26.0,-0.18304702900591382,4.0,1
Rwizi,2022,15315,1111.0,7.821740354829626,4.0,1
Rwizi,2022,14265,61.0,0.4294564911292593,4.0,1
Rwizi,2022,13991,-213.0,-1.4995775837792171,4.0,1
Rwizi,2022,14047,-157.0,-1.105322444381864,4.0,1
Rwizi,2022,14457,253.0,1.7811883976344693,4.0,1
Rwizi,2022,13629,-575.0,-4.048155449169248,4.0,1
Rwizi,2022,13847,-357.0,-2.5133765136581245,4.0,1
Rwizi,2022,14854,650.0,4.576175725147846,4.0,1
Rwizi,2022,14437,233.0,1.6403829907068432,4.0,1
Rwizi,2022,14272,68.0,0.47873838355392845,4.0,1
Rwizi,2022,14891,687.0,4.836665727963954,4.0,1
Rwizi,2022,13705,-499.0,-3.5130949028442693,4.0,1
Rwizi,2022,13971,-233.0,-1.6403829907068432,4.0,1
Rwizi,2022,14414,210.0,1.4784567727400733,4.0,0
Rwizi,2022,14389,185.0,1.3024500140805406,4.0,1
Rwizi,2021,11271,-859.0,-7.08161582852432,2.0,1
Rwizi,2021,11874,-256.0,-2.1104699093157464,2.0,1
Rwizi,2021,12032,-98.0,-0.8079142621599341,2.0,1
