region,annual_predicted_cases,avg_monthly_cases,hotspot_months
Rwizi,203691.2,16974.266666666666,12
KMP North,201066.6,16755.55,12
North Kyoga,197935.5,16494.625,12
KMP South,182425.7,15202.141666666668,12
Greater Masaka,142819.8,11901.65,12
Albertine,139180.2,11598.35,12
KMP East,133827.1,11152.258333333333,12
Rwenzori West,114235.59999999999,9519.633333333333,0
East Kyoga,100156.5,8346.375,0
Wamala,90415.0,7534.583333333333,0
Elgon,87509.2,7292.433333333333,0
Busoga East,85499.8,7124.983333333334,0
Kigezi,78164.7,6513.724999999999,0
Sipi,76456.0,6371.333333333333,0
Savannah,75522.7,6293.558333333333,0
West Nile,75178.1,6264.841666666667,0
Busoga North,71910.9,5992.575,0
Sezibwa,58519.9,4876.658333333334,0
Aswa West,57564.700000000004,4797.058333333333,0
Greater Bushenyi,57510.3,4792.525000000001,0
Bukedi South,56761.9,4730.158333333334,0
Kiira,51635.0,4302.916666666667,0
Aswa East,51120.4,4260.033333333334,0
North West Nile,48152.1,4012.6749999999997,0
Mt Moroto,46185.4,3848.7833333333333,0
Bukedi North,43025.4,3585.4500000000003,0
Katonga,39431.8,3285.9833333333336,0
Rwenzori East,35263.4,2938.616666666667,0
Kidepo,17577.5,1464.7916666666667,0
C.I.D Headquarters,6296.3,524.6916666666667,0
