region,month,month_name,year,predicted_cases,lower_bound,upper_bound,hotspot_flag,hotspot_label,threshold_80pct,period
Albertine,4,Apr,2026,11769.8,11201.0,12347.0,1,🔴 HOTSPOT,10101.8,Apr 2026
Albertine,5,May,2026,11757.3,11188.4,12334.4,1,🔴 HOTSPOT,10101.8,May 2026
Albertine,6,Jun,2026,11495.3,10926.4,12072.4,1,🔴 HOTSPOT,10101.8,Jun 2026
Albertine,7,Jul,2026,11894.8,11325.9,12471.9,1,🔴 HOTSPOT,10101.8,Jul 2026
Albertine,8,Aug,2026,11697.2,11128.4,12274.4,1,🔴 HOTSPOT,10101.8,Aug 2026
Albertine,9,Sep,2026,11390.9,10822.0,11968.0,1,🔴 HOTSPOT,10101.8,Sep 2026
Albertine,10,Oct,2026,11475.6,10906.8,12052.8,1,🔴 HOTSPOT,10101.8,Oct 2026
Albertine,11,Nov,2026,11505.6,10936.8,12082.8,1,🔴 HOTSPOT,10101.8,Nov 2026
Albertine,12,Dec,2026,10802.1,10233.2,11379.2,1,🔴 HOTSPOT,10101.8,Dec 2026
Albertine,1,Jan,2027,11939.3,11370.4,12516.4,1,🔴 HOTSPOT,10101.8,Jan 2027
Albertine,2,Feb,2027,11637.7,11068.8,12214.8,1,🔴 HOTSPOT,10101.8,Feb 2027
Albertine,3,Mar,2027,11814.6,11245.7,12391.7,1,🔴 HOTSPOT,10101.8,Mar 2027
Aswa East,4,Apr,2026,4343.0,3774.1,4920.2,0,🔵 Normal,10101.8,Apr 2026
Aswa East,5,May,2026,4361.3,3792.5,4938.5,0,🔵 Normal,10101.8,May 2026
Aswa East,6,Jun,2026,4338.9,3770.0,4916.1,0,🔵 Normal,10101.8,Jun 2026
Aswa East,7,Jul,2026,4323.7,3754.8,4900.9,0,🔵 Normal,10101.8,Jul 2026
Aswa East,8,Aug,2026,4327.8,3758.9,4904.9,0,🔵 Normal,10101.8,Aug 2026
Aswa East,9,Sep,2026,4241.1,3672.2,4818.2,0,🔵 Normal,10101.8,Sep 2026
Aswa East,10,Oct,2026,4121.8,3552.9,4698.9,0,🔵 Normal,10101.8,Oct 2026
Aswa East,11,Nov,2026,4175.5,3606.6,4752.6,0,🔵 Normal,10101.8,Nov 2026
Aswa East,12,Dec,2026,4168.0,3599.1,4745.2,0,🔵 Normal,10101.8,Dec 2026
Aswa East,1,Jan,2027,4285.0,3716.1,4862.1,0,🔵 Normal,10101.8,Jan 2027
Aswa East,2,Feb,2027,4207.8,3638.9,4784.9,0,🔵 Normal,10101.8,Feb 2027
Aswa East,3,Mar,2027,4226.5,3657.6,4803.6,0,🔵 Normal,10101.8,Mar 2027
Aswa West,4,Apr,2026,4849.0,4280.1,5426.1,0,🔵 Normal,10101.8,Apr 2026
Aswa West,5,May,2026,4850.1,4281.3,5427.3,0,🔵 Normal,10101.8,May 2026
Aswa West,6,Jun,2026,4847.6,4278.7,5424.7,0,🔵 Normal,10101.8,Jun 2026
Aswa West,7,Jul,2026,4843.8,4275.0,5421.0,0,🔵 Normal,10101.8,Jul 2026
Aswa West,8,Aug,2026,4806.4,4237.5,5383.5,0,🔵 Normal,10101.8,Aug 2026
Aswa West,9,Sep,2026,4802.3,4233.4,5379.4,0,🔵 Normal,10101.8,Sep 2026
Aswa West,10,Oct,2026,4687.3,4118.5,5264.5,0,🔵 Normal,10101.8,Oct 2026
Aswa West,11,Nov,2026,4743.0,4174.1,5320.2,0,🔵 Normal,10101.8,Nov 2026
Aswa West,12,Dec,2026,4713.3,4144.4,5290.4,0,🔵 Normal,10101.8,Dec 2026
Aswa West,1,Jan,2027,4795.0,4226.1,5372.1,0,🔵 Normal,10101.8,Jan 2027
Aswa West,2,Feb,2027,4795.1,4226.3,5372.3,0,🔵 Normal,10101.8,Feb 2027
Aswa West,3,Mar,2027,4831.8,4262.9,5408.9,0,🔵 Normal,10101.8,Mar 2027
Bukedi North,4,Apr,2026,3561.4,2992.5,4138.5,0,🔵 Normal,10101.8,Apr 2026
Bukedi North,5,May,2026,3598.8,3030.0,4176.0,0,🔵 Normal,10101.8,May 2026
Bukedi North,6,Jun,2026,3665.6,3096.8,4242.8,0,🔵 Normal,10101.8,Jun 2026
Bukedi North,7,Jul,2026,3602.8,3033.9,4179.9,0,🔵 Normal,10101.8,Jul 2026
Bukedi North,8,Aug,2026,3619.2,3050.4,4196.4,0,🔵 Normal,10101.8,Aug 2026
Bukedi North,9,Sep,2026,3599.6,3030.7,4176.7,0,🔵 Normal,10101.8,Sep 2026
Bukedi North,10,Oct,2026,3573.4,3004.5,4150.5,0,🔵 Normal,10101.8,Oct 2026
Bukedi North,11,Nov,2026,3597.1,3028.2,4174.3,0,🔵 Normal,10101.8,Nov 2026
Bukedi North,12,Dec,2026,3613.6,3044.8,4190.8,0,🔵 Normal,10101.8,Dec 2026
Bukedi North,1,Jan,2027,3648.1,3079.2,4225.2,0,🔵 Normal,10101.8,Jan 2027
Bukedi North,2,Feb,2027,3575.4,3006.5,4152.5,0,🔵 Normal,10101.8,Feb 2027
Bukedi North,3,Mar,2027,3370.4,2801.5,3947.5,0,🔵 Normal,10101.8,Mar 2027
Bukedi South,4,Apr,2026,4763.3,4194.4,5340.4,0,🔵 Normal,10101.8,Apr 2026
Bukedi South,5,May,2026,4751.6,4182.8,5328.8,0,🔵 Normal,10101.8,May 2026
Bukedi South,6,Jun,2026,4806.6,4237.8,5383.8,0,🔵 Normal,10101.8,Jun 2026
Bukedi South,7,Jul,2026,4761.1,4192.2,5338.2,0,🔵 Normal,10101.8,Jul 2026
Bukedi South,8,Aug,2026,4744.4,4175.6,5321.6,0,🔵 Normal,10101.8,Aug 2026
Bukedi South,9,Sep,2026,4720.7,4151.8,5297.9,0,🔵 Normal,10101.8,Sep 2026
Bukedi South,10,Oct,2026,4670.0,4101.1,5247.2,0,🔵 Normal,10101.8,Oct 2026
Bukedi South,11,Nov,2026,4733.5,4164.6,5310.6,0,🔵 Normal,10101.8,Nov 2026
Bukedi South,12,Dec,2026,4686.8,4118.0,5264.0,0,🔵 Normal,10101.8,Dec 2026
