region,avg_total_cases,is_hotspot,lat,lon
North Kyoga,14407.908333333333,1,2.25,32.9
Rwizi,14343.641666666666,1,-0.62,30.65
KMP North,14265.383333333333,1,0.41,32.57
KMP South,12859.55,1,0.25,32.58
Albertine,11566.275,1,1.65,31.35
Greater Masaka,11525.558333333332,1,-0.33,31.73
KMP East,9884.5,0,0.36,32.71
East Kyoga,9265.133333333333,0,1.55,33.55
Rwenzori West,8966.241666666667,0,0.68,30.2
Elgon,7984.583333333333,0,1.08,34.18
West Nile,7061.841666666666,0,2.85,31.05
Kigezi,6790.783333333334,0,-1.25,29.95
Busoga East,6742.308333333333,0,0.45,33.6
Busoga North,6484.766666666666,0,0.7,33.2
Wamala,6108.566666666667,0,0.5,31.95
Sipi,6092.141666666666,0,1.35,34.35
Savannah,6008.141666666666,0,1.45,32.1
Greater Bushenyi,5693.358333333334,0,-0.55,30.15
Aswa West,5624.291666666667,0,2.95,32.3
Bukedi South,5585.775,0,0.55,34.05
Sezibwa,5320.208333333333,0,0.55,32.85
Katonga,5237.55,0,0.15,31.55
Mt Moroto,4477.075,0,2.55,34.65
Aswa East,4111.666666666667,0,3.1,32.9
Bukedi North,4066.19,0,1.05,33.95
North West Nile,3892.325,0,3.35,31.0
Kiira,3800.0583333333334,0,0.45,33.2
Rwenzori East,2882.7,0,0.18,30.08
Kidepo,2148.05,0,3.75,34.65
C.I.D Headquarters,1412.7583333333334,0,0.315,32.583
